,Date,Hours,Planned,Output
0,2022-02-21,0600-0700,40,36
1,2022-02-21,0700-0800,40,28
2,2022-02-21,0800-0900,40,20
3,2022-02-21,0900-1000,40,9
4,2022-02-21,1000-1100,40,20
5,2022-02-21,1100-1200,40,10
6,2022-02-21,1200-1300,40,14
7,2022-02-21,1300-1400,40,30
8,2022-02-21,1400-1500,40,28
9,2022-02-21,1500-1600,40,48
10,2022-02-21,1600-1700,40,28
11,2022-02-21,1700-1800,40,17
12,2022-02-21,1800-1900,40,33
13,2022-02-21,1900-2000,40,46
14,2022-02-21,2000-2100,40,45
15,2022-02-21,2100-2200,40,35
16,2022-02-21,2200-2300,40,25
17,2022-02-21,2300-0000,40,33
18,2022-02-21,0000-0100,40,42
19,2022-02-21,0100-0200,40,20
20,2022-02-21,0200-0300,40,43
21,2022-02-21,0300-0400,40,47
22,2022-02-21,0400-0500,40,50
23,2022-02-21,0500-0600,40,40
24,2022-02-22,0600-0700,40,39
25,2022-02-22,0700-0800,40,51
26,2022-02-22,0800-0900,40,45
27,2022-02-22,0900-1000,40,18
28,2022-02-22,1000-1100,40,39
29,2022-02-22,1100-1200,40,37
30,2022-02-22,1200-1300,40,39
31,2022-02-22,1300-1400,40,19
32,2022-02-22,1400-1500,40,20
33,2022-02-22,1500-1600,40,23
34,2022-02-22,1600-1700,40,9
35,2022-02-22,1700-1800,40,0
36,2022-02-22,1800-1900,40,0
37,2022-02-22,1900-2000,40,0
38,2022-02-22,2000-2100,40,0
39,2022-02-22,2100-2200,40,0
40,2022-02-23,0600-0700,40,15
41,2022-02-23,0700-0800,40,41
42,2022-02-23,0800-0900,40,41
43,2022-02-23,0900-1000,40,20
44,2022-02-23,1000-1100,40,0
45,2022-02-23,1100-1200,40,0
46,2022-02-23,1200-1300,40,0
47,2022-02-23,1300-1400,40,0
48,2022-02-23,0600-0700,40,15
49,2022-02-23,0700-0800,40,41
50,2022-02-23,0800-0900,40,41
51,2022-02-23,0900-1000,40,20
52,2022-02-23,1000-1100,40,0
53,2022-02-23,1100-1200,40,0
54,2022-02-23,1200-1300,40,0
55,2022-02-23,1300-1400,40,0
56,2022-02-23,1400-1500,40,44
57,2022-02-23,1500-1600,40,47
58,2022-02-23,1600-1700,40,46
59,2022-02-23,1700-1800,40,26
60,2022-02-23,1800-1900,40,47
61,2022-02-23,1900-2000,40,45
62,2022-02-23,2000-2100,40,48
63,2022-02-23,2100-2200,40,30
64,2022-02-24,0600-0700,40,40
65,2022-02-24,0700-0800,40,35
66,2022-02-24,0800-0900,40,21
67,2022-02-24,0900-1000,40,21
68,2022-02-24,1000-1100,40,45
69,2022-02-24,1100-1200,40,37
70,2022-02-24,1200-1300,40,38
71,2022-02-24,1300-1400,40,29
72,2022-02-24,1400-1500,40,42
73,2022-02-24,1500-1600,40,43
74,2022-02-24,1600-1700,40,37
75,2022-02-24,1700-1800,40,15
